specObjID mjd_spec plate fiberID z M_i FIRSTmag scienceprimary
111123947130454000 51876 394 139 0 25 0 1
111123947390501000 51876 394 201 0 25 13546 1
111123947403084000 51876 394 204 0 25 13243 1
111123947642159000 51876 394 261 0 25 0 1
111123947742822000 51876 394 285 0 25 0 1
110279117911360000 51782 391 5 0 25 0 1
111405022167695000 51783 395 18 0 25 0 1
111405024730415000 51783 395 629 0 25 0 1
111686639457141000 51816 396 156 0 25 0 1
111686639910126000 51816 396 264 0 25 0 1
111686640145007000 51816 396 320 0 25 0 1
111686641197777000 51816 396 571 0 25 0 1
111968019873268000 51794 397 139 0 25 0 1
112249473610023000 51789 398 195 0 25 0 1
112249473811350000 51789 398 243 0 25 0 1
112531068397027000 51817 399 88 0 25 0 1
112531069055533000 51817 399 245 0 25 0 1
112531069084893000 51817 399 252 0 25 0 1
112531070322213000 51817 399 547 0 25 0 1
112812556703236000 51820 400 194 0 25 0 1
112812557269467000 51820 400 329 0 25 0 1
114219913622585000 51816 405 7 0 25 0 1
112812558175437000 51820 400 545 0 25 0 1
114219913815523000 51816 405 53 0 25 0 1
114219913819718000 51816 405 54 0 25 0 1
114219913832301000 51816 405 57 0 25 0 1
114219913836495000 51816 405 58 0 25 0 1
114219913844883000 51816 405 60 0 25 0 1
114219913861661000 51816 405 64 0 25 0 1
113093893431493000 51788 401 1 0 25 0 1
114219913920381000 51816 405 78 0 25 0 1
114219913958130000 51816 405 87 0 25 0 1
113093894001918000 51788 401 137 0 25 0 1
114219914062987000 51816 405 112 0 25 0 1
113093895163740000 51788 401 414 0 25 0 1
114219914096542000 51816 405 120 0 25 0 1
113093895750943000 51788 401 554 0 25 0 1
114219915195449000 51816 405 382 0 25 14769 1
111124106304291000 51913 394 201 0 25 0 1
111124106316874000 51913 394 204 0 25 0 1
111124106383983000 51913 394 220 0 25 0 1
111124106564338000 51913 394 263 0 25 12081 1
113375390818370000 51793 402 224 0 25 0 1
113375391556567000 51793 402 400 0 25 0 1
113657200181772000 51871 403 76 0 25 0 1
113657200517317000 51871 403 156 0 25 0 1
113657200626369000 51871 403 182 0 25 0 1
113657201054188000 51871 403 284 0 25 0 1
113657202048238000 51871 403 521 0 25 0 1
113657202522194000 51871 403 634 0 25 0 1
113938422103540000 51812 404 159 0 25 0 1
114501618384241000 51869 406 520 0 25 0 1
113938423110173000 51812 404 399 0 25 0 1
114501646318305000 51876 406 12 0 25 16306 1
113938702274658000 51877 404 397 0 25 0 1
113938702417265000 51877 404 431 0 25 0 1
114219913605808000 51816 405 3 0 25 0 1
114219913610002000 51816 405 4 0 25 0 1
114219913790358000 51816 405 47 0 25 0 1
114219913874244000 51816 405 67 0 25 12688 1
114219914042016000 51816 405 107 0 25 0 1
114219914088153000 51816 405 118 0 25 11495 1
114219915182866000 51816 405 379 0 25 0 1
114219915249975000 51816 405 395 0 25 0 1
114219915560354000 51816 405 469 0 25 0 1
